site	product_id	variant_id	old_price	quantity	isbn10	condition	download_time	basic_price
ST	11739930127	48063753231	362.21	3	9048179947	used	20191002	
ST	11721564943	47546500303	41.6	4	3659694096	new	20191002	
ST	11721564943	47808388111	41.6	3	3659694096	used	20191002	
ST	11729825679	47619171087	0.0	0	1118218663	new	20191002	
ST	11729825679	47829410191	27.41	5	1118218663	used	20191002	
ST	11728434767	47606932175	76.72	4	1138797774	new	20191002	
ST	11728434767	47822152527	76.48	3	1138797774	used	20191002	
ST	11728434767	47731007951	212.94	3	113879774X	new	20191002	
ST	11728434767	47849629071	211.66	3	113879774X	used	20191002	
ST	11734931215	47646240911	212.94	3	113879774X	new	20191002	
ST	11728544335	47607453007	296.45	3	0124016626	new	20191002	
ST	11728544335	47822580879	19.48	4	0124016626	used	20191002	
ST	11823558095	48036044047	102.56	6	0521728932	new	20191002	
ST	11823558095	48059859855	99.1	5	0521728932	used	20191002	
ST	11823530831	48035952271	79.89	6	1610020162	new	20191002	
ST	11823530831	48060313423	39.58	6	1610020162	used	20191002	
ST	11733971983	47641594895	77.98	7	1443839000	new	20191002	
ST	11733971983	48058785231	65.6	7	1443839000	used	20191002	
ST	11745465935	47707035855	29.73	3	1847423973	new	20191002	
ST	11745465935	47707035919	191.06	3	1847423981	new	20191002	
ST	11745465935	48442419471	29.73	4	1847423973	used	20191002	
ST	11825677263	48042855439	191.06	3	1847423981	new	20191002	
ST	11825677263	48442419599	191.06	3	1847423981	used	20191002	
ST	11740128591	47675478415	41.2	3	1618214896	new	20191002	
ST	11740128591	48065962767	41.2	7	1618214896	used	20191002	
ST	11734782735	47645707663	34.55	4	1433125358	new	20191002	
ST	11734782735	47849253519	34.3	6	1433125358	used	20191002	
ST	11734992463	47646661775	76.74	4	1433125366	new	20191002	
ST	11734992463	47849774991	76.74	5	1433125366	used	20191002	
ST	11727687183	47601816015	112.0	5	9811006261	new	20191002	
ST	11727687183	47818077327	112.0	5	9811006261	used	20191002	
ST	11807591887	47985510799	151.46	3	1138922315	new	20191002	
ST	11807591887	48054329487	89.58	4	1138922315	used	20191002	
ST	11745785423	47708232527	100.37	4	1349482447	new	20191002	
ST	11745785423	48441463823	103.39	6	1349482447	used	20191002	
ST	11744304399	47697621263	63.44	6	0739188690	new	20191002	
ST	11744304399	47697621327	123.2	3	0739176986	new	20191002	
ST	11744304399	48433771343	62.91	7	0739188690	used	20191002	
ST	11825149135	48041509647	123.2	6	0739176986	new	20191002	
ST	11825149135	48433771471	54.38	3	0739176986	used	20191002	
ST	11745884495	47708524751	27.14	5	3319389769	new	20191002	
ST	11745884495	48442507791	27.14	7	3319389769	used	20191002	
ST	11808361999	47987136719	96.22	5	1506376525	new	20191002	
ST	11808361999	48055371727	96.22	4	1506376525	used	20191002	
ST	11734595599	47644590159	256.53	5	1409435008	new	20191002	
ST	11734595599	47848861327	256.56	6	1409435008	used	20191002	
ST	11745901839	47708547151	42.35	6	3643906927	new	20191002	
ST	11745901839	48442715599	42.35	3	3643906927	used	20191002	
ST	11734616911	47644792591	163.76	3	0226430022	new	20191002	
ST	11734616911	47736727759	52.8	4	0226430030	new	20191002	
ST	11734616911	48059783695	156.13	6	0226430022	used	20191002	
ST	11744306063	47697630799	39.92	5	081425148X	new	20191002	
ST	11744306063	48433771919	33.82	7	081425148X	used	20191002	
ST	11728529487	47607379279	46.88	6	1472578376	new	20191002	
